Year,Date,Hijri_Date,Day,Multan_DOC_Rate,Multan_Farm_Rate
2015,1-Jan-15,10 Rabi Al-Awwal 1436,Thursday,50,158
2015,2-Jan-15,11 Rabi Al-Awwal 1436,Friday,50,153
2015,3-Jan-15,12 Rabi Al-Awwal 1436,Saturday,46,150
2015,4-Jan-15,13 Rabi Al-Awwal 1436,Sunday,44,150
2015,5-Jan-15,14 Rabi Al-Awwal 1436,Monday,42,150
2015,6-Jan-15,15 Rabi Al-Awwal 1436,Tuesday,38,145
2015,7-Jan-15,16 Rabi Al-Awwal 1436,Wednesday,36,140
2015,8-Jan-15,17 Rabi Al-Awwal 1436,Thursday,36,140
2015,9-Jan-15,18 Rabi Al-Awwal 1436,Friday,38,142
2015,10-Jan-15,19 Rabi Al-Awwal 1436,Saturday,40,142
2015,11-Jan-15,20 Rabi Al-Awwal 1436,Sunday,40,145
2015,12-Jan-15,21 Rabi Al-Awwal 1436,Monday,40,145
2015,13-Jan-15,22 Rabi Al-Awwal 1436,Tuesday,40,140
2015,14-Jan-15,23 Rabi Al-Awwal 1436,Wednesday,40,140
2015,15-Jan-15,24 Rabi Al-Awwal 1436,Thursday,40,142
2015,16-Jan-15,25 Rabi Al-Awwal 1436,Friday,40,140
2015,17-Jan-15,26 Rabi Al-Awwal 1436,Saturday,40,133
2015,18-Jan-15,27 Rabi Al-Awwal 1436,Sunday,40,133
2015,19-Jan-15,28 Rabi Al-Awwal 1436,Monday,40,135
2015,20-Jan-15,29 Rabi Al-Awwal 1436,Tuesday,34,130
2015,21-Jan-15,1 Rabi Al-Thani,Wednesday,30,125
2015,22-Jan-15,2 Rabi Al-Thani,Thursday,28,125
2015,23-Jan-15,3 Rabi Al-Thani,Friday,28,125
2015,24-Jan-15,4 Rabi Al-Thani,Saturday,28,125
2015,25-Jan-15,5 Rabi Al-Thani,Sunday,28,122
2015,26-Jan-15,6 Rabi Al-Thani,Monday,28,118
2015,27-Jan-15,7 Rabi Al-Thani,Tuesday,24,115
2015,28-Jan-15,8 Rabi Al-Thani,Wednesday,22,108
2015,29-Jan-15,9 Rabi Al-Thani,Thursday,20,112
2015,30-Jan-15,10 Rabi Al-Thani,Friday,20,112
2015,31-Jan-15,11 Rabi Al-Thani,Saturday,20,112
2015,1-Feb-15,12 Rabi Al-Thani,Sunday,20,112
2015,2-Feb-15,13 Rabi Al-Thani,Monday,20,115
2015,3-Feb-15,14 Rabi Al-Thani,Tuesday,22,115
2015,4-Feb-15,15 Rabi Al-Thani,Wednesday,26,120
2015,5-Feb-15,16 Rabi Al-Thani,Thursday,26,122
2015,6-Feb-15,17 Rabi Al-Thani,Friday,28,122
2015,7-Feb-15,18 Rabi Al-Thani,Saturday,28,114
2015,8-Feb-15,19 Rabi Al-Thani,Sunday,24,114
2015,9-Feb-15,20 Rabi Al-Thani,Monday,22,116
2015,10-Feb-15,21 Rabi Al-Thani,Tuesday,20,116
2015,11-Feb-15,22 Rabi Al-Thani,Wednesday,20,112
2015,12-Feb-15,23 Rabi Al-Thani,Thursday,18,112
2015,13-Feb-15,24 Rabi Al-Thani,Friday,16,106
2015,14-Feb-15,25 Rabi Al-Thani,Saturday,16,110
2015,15-Feb-15,26 Rabi Al-Thani,Sunday,16,114
2015,16-Feb-15,27 Rabi Al-Thani,Monday,16,110
2015,17-Feb-15,28 Rabi Al-Thani,Tuesday,16,105
2015,18-Feb-15,29 Rabi Al-Thani,Wednesday,16,105
2015,19-Feb-15,30 Rabi Al-Thani,Thursday,14,103
2015,20-Feb-15,1 Jumada Al-Awwal,Friday,14,108
2015,21-Feb-15,2 Jumada Al-Awwal,Saturday,14,108
2015,22-Feb-15,3 Jumada Al-Awwal,Sunday,12,105
2015,23-Feb-15,4 Jumada Al-Awwal,Monday,12,95
2015,24-Feb-15,5 Jumada Al-Awwal,Tuesday,10,95
